Membership No  Date Joined  Active  
    28557      2017-2-11    yes   
    69313      2018-6-18    yes   
    58940      2019-11-8    yes   
    15220      2017-7-19    yes   
    57572      2015-4-8     no    
    64719      2020-8-3     no    
    11101      2019-8-19    no    
    42378      2016-11-11   no    
    41237      2020-10-25   no    
    44660      2018-7-16    no    
    61153      2018-9-16    yes   
    67679      2019-9-3     yes   
    67745      2020-1-16    no    
    34323      2018-12-3    yes   
    94767      2020-6-25    yes   
    29841      2019-3-1     no    
    45685      2019-5-3     yes   
    16707      2019-4-9     no    
    55031      2020-3-9     no    
    78200      2019-9-8     yes   
